Subject,Condition,NoiseType,Set,File,Score
CH08NG31,orig,Applaus,1,1,76
CH08NG31,gauss,Applaus,1,1,16
CH08NG31,synth,Applaus,1,1,77
CH08NG31,synsmall,Applaus,1,1,18
CH08NG31,orig,Applaus,1,2,75
CH08NG31,gauss,Applaus,1,2,40
CH08NG31,synth,Applaus,1,2,12
CH08NG31,synsmall,Applaus,1,2,6
CH08NG31,orig,Applaus,1,3,89
CH08NG31,gauss,Applaus,1,3,42
CH08NG31,synth,Applaus,1,3,0
CH08NG31,synsmall,Applaus,1,3,31
CH08NG31,white,Applaus,1,1,3
CH08NG31,orig,Applaus,2,1,88
CH08NG31,gauss,Applaus,2,1,4
CH08NG31,synth,Applaus,2,1,18
CH08NG31,synsmall,Applaus,2,1,14
CH08NG31,orig,Applaus,2,2,100
CH08NG31,gauss,Applaus,2,2,3
CH08NG31,synth,Applaus,2,2,43
CH08NG31,synsmall,Applaus,2,2,50
CH08NG31,orig,Applaus,2,3,94
CH08NG31,gauss,Applaus,2,3,3
CH08NG31,synth,Applaus,2,3,19
CH08NG31,synsmall,Applaus,2,3,48
CH08NG31,white,Applaus,2,1,3
CH08NG31,orig,Filmton,1,1,9
CH08NG31,gauss,Filmton,1,1,79
CH08NG31,synth,Filmton,1,1,0
CH08NG31,synsmall,Filmton,1,1,10
CH08NG31,orig,Filmton,1,2,58
CH08NG31,gauss,Filmton,1,2,95
CH08NG31,synth,Filmton,1,2,24
CH08NG31,synsmall,Filmton,1,2,42
CH08NG31,orig,Filmton,1,3,51
CH08NG31,gauss,Filmton,1,3,39
CH08NG31,synth,Filmton,1,3,49
CH08NG31,synsmall,Filmton,1,3,20
CH08NG31,white,Filmton,1,1,24
CH08NG31,orig,Filmton,2,1,58
CH08NG31,gauss,Filmton,2,1,72
CH08NG31,synth,Filmton,2,1,79
CH08NG31,synsmall,Filmton,2,1,46
CH08NG31,orig,Filmton,2,2,39
CH08NG31,gauss,Filmton,2,2,42
CH08NG31,synth,Filmton,2,2,61
CH08NG31,synsmall,Filmton,2,2,23
CH08NG31,orig,Filmton,2,3,10
CH08NG31,gauss,Filmton,2,3,79
CH08NG31,synth,Filmton,2,3,54
CH08NG31,synsmall,Filmton,2,3,40
CH08NG31,white,Filmton,2,1,6
CH08NG31,orig,Kassette,1,1,64
CH08NG31,gauss,Kassette,1,1,95
CH08NG31,synth,Kassette,1,1,65
CH08NG31,synsmall,Kassette,1,1,54
CH08NG31,orig,Kassette,1,2,40
CH08NG31,gauss,Kassette,1,2,25
CH08NG31,synth,Kassette,1,2,39
CH08NG31,synsmall,Kassette,1,2,39
CH08NG31,orig,Kassette,1,3,38
CH08NG31,gauss,Kassette,1,3,94
CH08NG31,synth,Kassette,1,3,75
CH08NG31,synsmall,Kassette,1,3,51
CH08NG31,white,Kassette,1,1,50
CH08NG31,orig,Kassette,2,1,53
CH08NG31,gauss,Kassette,2,1,23
CH08NG31,synth,Kassette,2,1,46
CH08NG31,synsmall,Kassette,2,1,48
CH08NG31,orig,Kassette,2,2,86
CH08NG31,gauss,Kassette,2,2,53
CH08NG31,synth,Kassette,2,2,84
CH08NG31,synsmall,Kassette,2,2,87
CH08NG31,orig,Kassette,2,3,65
CH08NG31,gauss,Kassette,2,3,41
CH08NG31,synth,Kassette,2,3,56
CH08NG31,synsmall,Kassette,2,3,79
CH08NG31,white,Kassette,2,1,95
CH08NG31,orig,Regen,1,1,91
CH08NG31,gauss,Regen,1,1,11
CH08NG31,synth,Regen,1,1,45
CH08NG31,synsmall,Regen,1,1,77
CH08NG31,orig,Regen,1,2,79
CH08NG31,gauss,Regen,1,2,29
CH08NG31,synth,Regen,1,2,74
CH08NG31,synsmall,Regen,1,2,92
CH08NG31,orig,Regen,1,3,98
CH08NG31,gauss,Regen,1,3,33
CH08NG31,synth,Regen,1,3,64
CH08NG31,synsmall,Regen,1,3,65
CH08NG31,white,Regen,1,1,25
CH08NG31,orig,Regen,2,1,81
CH08NG31,gauss,Regen,2,1,8
CH08NG31,synth,Regen,2,1,56
CH08NG31,synsmall,Regen,2,1,64
CH08NG31,orig,Regen,2,2,84
CH08NG31,gauss,Regen,2,2,24
CH08NG31,synth,Regen,2,2,96
CH08NG31,synsmall,Regen,2,2,56
CH08NG31,orig,Regen,2,3,58
CH08NG31,gauss,Regen,2,3,2
CH08NG31,synth,Regen,2,3,78
CH08NG31,synsmall,Regen,2,3,52
CH08NG31,white,Regen,2,1,47
CH08NG31,orig,Schallplatte,1,1,82
CH08NG31,gauss,Schallplatte,1,1,30
CH08NG31,synth,Schallplatte,1,1,37
CH08NG31,synsmall,Schallplatte,1,1,35
CH08NG31,orig,Schallplatte,1,2,12
CH08NG31,gauss,Schallplatte,1,2,11
CH08NG31,synth,Schallplatte,1,2,76
CH08NG31,synsmall,Schallplatte,1,2,90
CH08NG31,orig,Schallplatte,1,3,84
CH08NG31,gauss,Schallplatte,1,3,8
CH08NG31,synth,Schallplatte,1,3,45
CH08NG31,synsmall,Schallplatte,1,3,19
CH08NG31,white,Schallplatte,1,1,8
CH08NG31,orig,Schallplatte,2,1,82
CH08NG31,gauss,Schallplatte,2,1,27
CH08NG31,synth,Schallplatte,2,1,84
CH08NG31,synsmall,Schallplatte,2,1,96
CH08NG31,orig,Schallplatte,2,2,29
CH08NG31,gauss,Schallplatte,2,2,8
CH08NG31,synth,Schallplatte,2,2,21
CH08NG31,synsmall,Schallplatte,2,2,16
CH08NG31,orig,Schallplatte,2,3,66
CH08NG31,gauss,Schallplatte,2,3,7
CH08NG31,synth,Schallplatte,2,3,28
CH08NG31,synsmall,Schallplatte,2,3,44
CH08NG31,white,Schallplatte,2,1,7
DT04EF29,orig,Applaus,1,1,100
DT04EF29,gauss,Applaus,1,1,0
DT04EF29,synth,Applaus,1,1,6
DT04EF29,synsmall,Applaus,1,1,0
DT04EF29,orig,Applaus,1,2,100
DT04EF29,gauss,Applaus,1,2,0
DT04EF29,synth,Applaus,1,2,0
DT04EF29,synsmall,Applaus,1,2,0
DT04EF29,orig,Applaus,1,3,100
DT04EF29,gauss,Applaus,1,3,0
DT04EF29,synth,Applaus,1,3,4
DT04EF29,synsmall,Applaus,1,3,0
DT04EF29,white,Applaus,1,1,0
DT04EF29,orig,Applaus,2,1,100
DT04EF29,gauss,Applaus,2,1,0
DT04EF29,synth,Applaus,2,1,3
DT04EF29,synsmall,Applaus,2,1,4
DT04EF29,orig,Applaus,2,2,100
DT04EF29,gauss,Applaus,2,2,0
DT04EF29,synth,Applaus,2,2,19
DT04EF29,synsmall,Applaus,2,2,14
DT04EF29,orig,Applaus,2,3,100
DT04EF29,gauss,Applaus,2,3,0
DT04EF29,synth,Applaus,2,3,10
DT04EF29,synsmall,Applaus,2,3,8
DT04EF29,white,Applaus,2,1,0
DT04EF29,orig,Filmton,1,1,74
DT04EF29,gauss,Filmton,1,1,29
DT04EF29,synth,Filmton,1,1,100
DT04EF29,synsmall,Filmton,1,1,92
DT04EF29,orig,Filmton,1,2,100
DT04EF29,gauss,Filmton,1,2,0
DT04EF29,synth,Filmton,1,2,100
DT04EF29,synsmall,Filmton,1,2,100
DT04EF29,orig,Filmton,1,3,100
DT04EF29,gauss,Filmton,1,3,0
DT04EF29,synth,Filmton,1,3,100
DT04EF29,synsmall,Filmton,1,3,100
DT04EF29,white,Filmton,1,1,0
DT04EF29,orig,Filmton,2,1,100
DT04EF29,gauss,Filmton,2,1,0
DT04EF29,synth,Filmton,2,1,19
DT04EF29,synsmall,Filmton,2,1,16
DT04EF29,orig,Filmton,2,2,100
DT04EF29,gauss,Filmton,2,2,100
DT04EF29,synth,Filmton,2,2,100
DT04EF29,synsmall,Filmton,2,2,0
DT04EF29,orig,Filmton,2,3,45
DT04EF29,gauss,Filmton,2,3,0
DT04EF29,synth,Filmton,2,3,18
DT04EF29,synsmall,Filmton,2,3,0
DT04EF29,white,Filmton,2,1,0
DT04EF29,orig,Kassette,1,1,0
DT04EF29,gauss,Kassette,1,1,100
DT04EF29,synth,Kassette,1,1,0
DT04EF29,synsmall,Kassette,1,1,0
DT04EF29,orig,Kassette,1,2,0
DT04EF29,gauss,Kassette,1,2,100
DT04EF29,synth,Kassette,1,2,0
DT04EF29,synsmall,Kassette,1,2,0
DT04EF29,orig,Kassette,1,3,0
DT04EF29,gauss,Kassette,1,3,100
DT04EF29,synth,Kassette,1,3,0
DT04EF29,synsmall,Kassette,1,3,0
DT04EF29,white,Kassette,1,1,0
DT04EF29,orig,Kassette,2,1,100
DT04EF29,gauss,Kassette,2,1,100
DT04EF29,synth,Kassette,2,1,0
DT04EF29,synsmall,Kassette,2,1,100
DT04EF29,orig,Kassette,2,2,0
DT04EF29,gauss,Kassette,2,2,0
DT04EF29,synth,Kassette,2,2,0
DT04EF29,synsmall,Kassette,2,2,0
DT04EF29,orig,Kassette,2,3,0
DT04EF29,gauss,Kassette,2,3,100
DT04EF29,synth,Kassette,2,3,0
DT04EF29,synsmall,Kassette,2,3,0
DT04EF29,white,Kassette,2,1,0
DT04EF29,orig,Regen,1,1,100
DT04EF29,gauss,Regen,1,1,0
DT04EF29,synth,Regen,1,1,100
DT04EF29,synsmall,Regen,1,1,100
DT04EF29,orig,Regen,1,2,75
DT04EF29,gauss,Regen,1,2,10
DT04EF29,synth,Regen,1,2,24
DT04EF29,synsmall,Regen,1,2,13
DT04EF29,orig,Regen,1,3,76
DT04EF29,gauss,Regen,1,3,0
DT04EF29,synth,Regen,1,3,100
DT04EF29,synsmall,Regen,1,3,19
DT04EF29,white,Regen,1,1,0
DT04EF29,orig,Regen,2,1,100
DT04EF29,gauss,Regen,2,1,0
DT04EF29,synth,Regen,2,1,14
DT04EF29,synsmall,Regen,2,1,100
DT04EF29,orig,Regen,2,2,100
DT04EF29,gauss,Regen,2,2,0
DT04EF29,synth,Regen,2,2,36
