NoiseType,GroupAName,GroupA,GroupBName,GroupB,p_Signi
Schallplatte,orig,1,synth,2,1
Schallplatte,orig,1,synsmall,3,0.805114349091327
Schallplatte,synth,2,synsmall,3,1
Schallplatte,gauss,4,white,5,1
Kassette,orig,6,synth,7,0.305111023481581
Kassette,orig,6,synsmall,8,0.257351331678033
Kassette,orig,6,gauss,9,1
Kassette,synth,7,synsmall,8,1
Kassette,synth,7,gauss,9,0.388739098669865
Kassette,synth,7,white,10,1
Kassette,synsmall,8,gauss,9,0.329810958066697
Kassette,synsmall,8,white,10,1
Filmton,orig,11,synth,12,1
Filmton,synth,12,synsmall,13,0.296320132054747
Filmton,synsmall,13,gauss,14,0.092490462046253
Filmton,gauss,14,white,15,0.104524775691225
Regen,synth,17,synsmall,18,1
Regen,gauss,19,white,20,1
Applaus,synth,22,synsmall,23,1
Applaus,gauss,24,white,25,0.0706819481011856
